Crime et Châtiment;Dostoïevski Fiodor;1866
L'Idiot;Dostoïevski Fiodor;1869
Les Démons;Dostoïevski Fiodor;1872
Les Frères Karamazov;Dostoïevski Fiodor;1880
Le Procès;Franz Kafka;1925
Le Château;Franz Kafka;1926
Cent ans de solitude;Gabriel García Márquez;1967
L'Amour aux temps du choléra;Gabriel García Márquez;1985
1984;George Orwell;1949
Madame Bovary;Gustave Flow-Bear;1857
L'Éducation sentimentale;Gustave Flow-Bear;1869
Une maison de poupée;Henrik Ibsen;1879
Anna Karénine;Léon Tolstoï;1877
La Mort d'Ivan Ilitch;Léon Tolstoï;1886
Le Dit du Genji;Murasaki Shikibu;1000
Les Buddenbrook;Thomas Mann;1901
La Montagne magique;Thomas Mann;1924
Mrs Dalloway;Virginia Woolf;1925
La Promenade au phare;Virginia Woolf;1927
Absalon, Absalon !;William Faulkner;1936
Le Bruit et la Fureur;William Faulkner;1929
Hamlet;William Shakespeare;1603
Le Roi Lear;William Shakespeare;1608
Othello ou le Maure de Venise;William Shakespeare;1622
Le Grondement de la montagne;Yasunari Kawabata;1954
