Crime et Châtiment;1;1866
L'Idiot;1;1869
Les Démons;1;1872
Les Frères Karamazov;1;1880
Le Procès;2;1925
Le Château;2;1926
Cent ans de solitude;3;1967
L'Amour aux temps du choléra;3;1985
1984;4;1949
Madame Bovary;5;1857
L'Éducation sentimentale;5;1869
Une maison de poupée;6;1879
Anna Karénine;7;1877
La Mort d'Ivan Ilitch;7;1886
Les Buddenbrook;9;1901
La Montagne magique;9;1924
Mrs Dalloway;10;1925
La Promenade au phare;10;1927
Absalon, Absalon !;11;1936
Le Bruit et la Fureur;11;1929
Le Grondement de la montagne;13;1954
La nuit des temps;14;1968
Ravage;14;1943
